"clust","element_global_id","scientificname"
"1","683742","Quercus rubra - Quercus alba - (Quercus velutina, Acer rubrum) / Viburnum acerifolium Forest"
"2","683742","Quercus rubra - Quercus alba - (Quercus velutina, Acer rubrum) / Viburnum acerifolium Forest"
"3","689615","Phalaris arundinacea Eastern Ruderal Marsh"
"4","688421","Acer (rubrum, saccharinum) - Fraxinus spp. - Ulmus americana Swamp Forest"
"5","688421","Acer (rubrum, saccharinum) - Fraxinus spp. - Ulmus americana Swamp Forest"
"6","686814","Acer saccharinum - Fraxinus pennsylvanica - Ulmus americana Floodplain Forest"
"7","686190","Cornus sericea - Salix spp. - (Rosa palustris) Shrub Swamp"
"8","687841","Fagus grandifolia - Acer saccharum - Quercus bicolor - Acer rubrum Flatwoods Forest"
"9","686814","Acer saccharinum - Fraxinus pennsylvanica - Ulmus americana Floodplain Forest"
"10","685222","Fagus grandifolia - Acer saccharum Glaciated Midwest Forest"
"11","689188","Tsuga canadensis - Fagus grandifolia - (Acer saccharum) Great Lakes Forest"
"12","689285","Quercus palustris - Quercus bicolor - Nyssa sylvatica - Acer rubrum Sand Wet Flatwoods Forest"
"13","685467","Quercus palustris - Quercus bicolor - Acer rubrum Flatwoods Forest"
